Step,height (mm),Frequency (GHz),Q raw,Q spline,Loss (dB),,mm_p_step,Holder Material,Sample,OD base (mm),OD top (mm),Length (mm),Length wo base (mm),ID (mm),WG_length (mm),WG_d (mm),WG_a (mm),Mode,Aeff_E
0,0,1.035725625,4845.5,4828.939413,,,0.0018,,,,,,,,457.2,152.4,29.08,1,71.73673
250,0.45,1.035726875,4845.505848,4828.627547,,,,,,,,,,,,,,,
500,0.9,1.0357275,4845.508772,4829.432576,,,,,,,,,,,,,,,
750,1.35,1.03572625,4845.502924,4829.576639,,,,,,,,,,,,,,,
1000,1.8,1.03572625,4831.376093,4828.525863,,,,,,,,,,,,,,,
1250,2.25,1.035726875,4831.379009,4826.414392,,,,,,,,,,,,,,,
1500,2.7,1.035725625,4845.5,4828.061029,,,,,,,,,,,,,,,
1750,3.15,1.035725625,4845.5,4828.914189,,,,,,,,,,,,,,,
2000,3.6,1.035724375,4831.367347,4825.920838,,,,,,,,,,,,,,,
2250,4.05,1.03572375,4845.491228,4824.872985,,,,,,,,,,,,,,,
2500,4.5,1.0357225,4831.358601,4823.744844,,,,,,,,,,,,,,,
2750,4.95,1.03572,4831.346939,4821.305212,,,,,,,,,,,,,,,
3000,5.4,1.03571875,4831.341108,4818.215353,,,,,,,,,,,,,,,
3250,5.85,1.035713125,4831.314869,4811.922877,,,,,,,,,,,,,,,
3500,6.3,1.035706875,4817.241279,4805.222453,,,,,,,,,,,,,,,
3750,6.75,1.035698125,4803.237681,4793.726062,,,,,,,,,,,,,,,
4000,7.2,1.03568125,4789.277457,4775.91785,,,,,,,,,,,,,,,
4250,7.65,1.03566,4761.655172,4746.713935,,,,,,,,,,,,,,,
4500,8.1,1.035635,4720.843305,4710.577316,,,,,,,,,,,,,,,
4750,8.55,1.035608125,4680.714689,4672.890685,,,,,,,,,,,,,,,
5000,9,1.035580625,4641.257703,4629.871989,,,,,,,,,,,,,,,
5250,9.45,1.035545625,4589.6759,4578.721526,,,,,,,,,,,,,,,
5500,9.9,1.03550625,4526.803279,4517.033398,,,,,,,,,,,,,,,
5750,10.35,1.035465,4465.617251,4455.524017,,,,,,,,,,,,,,,
6000,10.8,1.03542,4406.042553,4385.378468,,,,,,,,,,,,,,,
6250,11.25,1.03538125,4336.675393,4322.540361,,,,,,,,,,,,,,,
6500,11.7,1.035331875,4258.434447,4250.892359,,,,,,,,,,,,,,,
6750,12.15,1.03528375,4193.55443,4180.610567,,,,,,,,,,,,,,,
7000,12.6,1.03523,4110.094293,4097.872468,,,,,,,,,,,,,,,
7250,13.05,1.03517625,4029.883212,4019.63283,,,,,,,,,,,,,,,
7500,13.5,1.03512125,3952.73031,3943.943462,,,,,,,,,,,,,,,
7750,13.95,1.03506625,3878.468384,3872.066458,,,,,,,,,,,,,,,
8000,14.4,1.035010625,3798.204128,3792.999167,,,,,,,,,,,,,,,
8250,14.85,1.034954375,3729.565315,3721.548299,,,,,,,,,,,,,,,
8500,15.3,1.0349,3663.362832,3652.485273,,,,,,,,,,,,,,,
8750,15.75,1.0348375,3583.852814,3576.225335,,,,,,,,,,,,,,,
9000,16.2,1.034775625,3515.161359,3501.992189,,,,,,,,,,,,,,,
9250,16.65,1.034709375,3434.719917,3426.720891,,,,,,,,,,,,,,,
9500,17.1,1.03465,3364.715447,3357.269346,,,,,,,,,,,,,,,
9750,17.55,1.034579375,3284.378968,3279.804817,,,,,,,,,,,,,,,
10000,18,1.0345125,3220.272374,3209.744354,,,,,,,,,,,,,,,
10250,18.45,1.034445,3152.594286,3142.745341,,,,,,,,,,,,,,,
10500,18.9,1.0343775,3081.944134,3075.236367,,,,,,,,,,,,,,,
10750,19.35,1.03431,3014.382514,3011.000843,,,,,,,,,,,,,,,
11000,19.8,1.03424125,2954.975,2948.997165,,,,,,,,,,,,,,,
11250,20.25,1.034171875,2892.788462,2886.047098,,,,,,,,,,,,,,,
11500,20.7,1.034104375,2833.162671,2829.383383,,,,,,,,,,,,,,,
11750,21.15,1.03404125,2785.296296,2776.862341,,,,,,,,,,,,,,,
12000,21.6,1.033971875,2729.958746,2720.773573,,,,,,,,,,,,,,,
12250,22.05,1.03389875,2672.436187,2666.405498,,,,,,,,,,,,,,,
12500,22.5,1.03383125,2621.442155,2614.211321,,,,,,,,,,,,,,,
12750,22.95,1.033751875,2568.32764,2562.193089,,,,,,,,,,,,,,,
13000,23.4,1.033693125,2521.202744,2518.277098,,,,,,,,,,,,,,,
13250,23.85,1.033638125,2486.948872,2479.181471,,,,,,,,,,,,,,,
13500,24.3,1.033560625,2439.081121,2431.052991,,,,,,,,,,,,,,,
13750,24.75,1.033489375,2393.028944,2385.650426,,,,,,,,,,,,,,,
14000,25.2,1.033410625,2345.329078,2337.524501,,,,,,,,,,,,,,,
14250,25.65,1.033338125,2299.500695,2293.146457,,,,,,,,,,,,,,,
14500,26.1,1.033265625,2255.42292,2250.383975,,,,,,,,,,,,,,,
14750,26.55,1.033194375,2215.966488,2210.30308,,,,,,,,,,,,,,,
15000,27,1.033113125,2172.116951,2168.837974,,,,,,,,,,,,,,,
15250,27.45,1.033036875,2132.72129,2128.386121,,,,,,,,,,,,,,,
15500,27.9,1.032953125,2089.412137,2085.482348,,,,,,,,,,,,,,,
15750,28.35,1.0328775,2052.924224,2048.615886,,,,,,,,,,,,,,,
16000,28.8,1.03280375,2020.154034,2013.52184,,,,,,,,,,,,,,,
16250,29.25,1.032723125,1983.621849,1975.5394,,,,,,,,,,,,,,,
16500,29.7,1.0326475,1946.096584,1941.405035,,,,,,,,,,,,,,,
16750,30.15,1.032564375,1912.15625,1907.518567,,,,,,,,,,,,,,,
17000,30.6,1.032486875,1877.248864,1872.674382,,,,,,,,,,,,,,,
17250,31.05,1.032396875,1843.565848,1837.195075,,,,,,,,,,,,,,,
17500,31.5,1.0323125,1809.090909,1804.432048,,,,,,,,,,,,,,,
