Step,height (mm),Frequency (GHz),Q raw,Q spline,Loss (dB),,mm_p_step,Holder Material,Sample,OD base (mm),OD top (mm),Length (mm),Length wo base (mm),ID (mm),WG_length (mm),WG_d (mm),WG_a (mm),Mode,Aeff_E,Aeff_H
0,0,1.910826875,5095.538333,5084.012456,,,0.0018,,,,,,,,457.2,152.4,29.08,5,70.24262,0.4663147
250,0.45,1.910826875,5095.538333,5083.438532,,,,,,,,,,,,,,,,
500,0.9,1.910826875,5095.538333,5084.19253,,,,,,,,,,,,,,,,
750,1.35,1.910826875,5095.538333,5083.342242,,,,,,,,,,,,,,,,
1000,1.8,1.910826875,5095.538333,5083.73924,,,,,,,,,,,,,,,,
1250,2.25,1.910826875,5095.538333,5083.731389,,,,,,,,,,,,,,,,
1500,2.7,1.91082375,5095.53,5082.826569,,,,,,,,,,,,,,,,
1750,3.15,1.910826875,5095.538333,5082.80067,,,,,,,,,,,,,,,,
2000,3.6,1.91082375,5095.53,5082.710833,,,,,,,,,,,,,,,,
2250,4.05,1.910820625,5095.521667,5082.793142,,,,,,,,,,,,,,,,
2500,4.5,1.9108175,5095.513333,5083.141181,,,,,,,,,,,,,,,,
2750,4.95,1.910814375,5095.505,5083.686633,,,,,,,,,,,,,,,,
3000,5.4,1.910808125,5095.488333,5082.841115,,,,,,,,,,,,,,,,
3250,5.85,1.910795625,5095.455,5083.072708,,,,,,,,,,,,,,,,
3500,6.3,1.91078,5095.413333,5082.988199,,,,,,,,,,,,,,,,
3750,6.75,1.910758125,5095.355,5083.274611,,,,,,,,,,,,,,,,
4000,7.2,1.91073,5053.170248,5082.292202,,,,,,,,,,,,,,,,
4250,7.65,1.910695625,5095.188333,5082.204952,,,,,,,,,,,,,,,,
4500,8.1,1.910658125,5095.088333,5081.186434,,,,,,,,,,,,,,,,
4750,8.55,1.9106175,5094.98,5081.272064,,,,,,,,,,,,,,,,
5000,9,1.910576875,5094.871667,5081.200394,,,,,,,,,,,,,,,,
5250,9.45,1.91052375,5094.73,5079.781236,,,,,,,,,,,,,,,,
5500,9.9,1.910470625,5094.588333,5080.298428,,,,,,,,,,,,,,,,
5750,10.35,1.910414375,5052.335537,5078.835329,,,,,,,,,,,,,,,,
6000,10.8,1.910358125,5094.288333,5078.715293,,,,,,,,,,,,,,,,
6250,11.25,1.910295625,5094.121667,5077.978235,,,,,,,,,,,,,,,,
6500,11.7,1.91023,5093.946667,5075.632247,,,,,,,,,,,,,,,,
